CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;19;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;13;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Graduado;Hombres;38;0;0;0;7.44;56.85;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Graduado;Mujeres;28;0;0;0;6.81;59.02;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;17;9;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;8;4;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Graduado;Hombres;52;0;0;0;4.00;96.32;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Graduado;Mujeres;18;0;0;0;4.00;98.35;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Incumple Régimen de permanencia;Hombres;0;3;2;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Incumple Régimen de permanencia;Mujeres;0;1;1;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;9;6;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;3;2;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;1;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Graduado;Hombres;33;0;0;0;4.00;97.53;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Graduado;Mujeres;6;0;0;0;4.00;93.00;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Incumple Régimen de permanencia;Hombres;0;2;2;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;5;4;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Mujeres;0;2;0;0;;;29/04/2018
