CURSO_ACADEMICO;NOMBRE_PROGRAMA_MOVILIDAD;NOMBRE_AREA_ESTUDIOS_MOV;CENTRO;IN_OUT;NOMBRE_IDIOMA_NIVEL_MOVILIDAD;PAIS_UNIVERSIDAD_ACUERDO;UNIVERSIDAD_ACUERDO;PLAZAS_OFERTADAS_ALUMNOS;PLAZAS_ASIGNADAS_ALUMNOS_OUT;FECHA_ACTUALIZACION
2025;ERASMUS;Agricultura (Otros estudios);Escuela Politécnica Superior;IN;INGLÉS - B1 (Nivel intermedio);Alemania;Rheinische Friedrich-Wilhelms- Universitat Bonn (Alemania);2;0;19/07/2026
2025;ERASMUS;Agricultura (Otros estudios);Escuela Politécnica Superior;OUT;ALEMÁN - B1 (Nivel intermedio);Alemania;Rheinische Friedrich-Wilhelms- Universitat Bonn (Alemania);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;IN;ESPAÑOL - B1 (Nivel intermedio);Estonia;Tallinna Tehnikaúlikool (Estonia);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Politecnico Di Torino (Italia);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;IN;ESPAÑOL - B1 (Nivel intermedio);Países Bajos;Radboud Universiteit Nijmegen (Países Bajos);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;IN;INGLÉS - B1 (Nivel intermedio);Francia;Université Paris-Est Créteil Val De Marne (Francia);3;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;IN;Sin datos;Irlanda (Eire);University College Dublin (Irlanda (Eire));5;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;IN;Sin datos;Italia;Università Degli Studi Di Genova (Italia);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;OUT;INGLÉS - B1 (Nivel intermedio);Francia;Université Paris-Est Créteil Val De Marne (Francia);3;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;OUT;INGLÉS - B1 (Nivel intermedio);Italia;Politecnico Di Torino (Italia);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;OUT;INGLÉS - B1 (Nivel intermedio);Italia;Università Degli Studi Di Genova (Italia);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;OUT;INGLÉS - B2 (Nivel avanzado);Estonia;Tallinna Tehnikaúlikool (Estonia);2;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;OUT;INGLÉS - C1 (Nivel avanzado 1);Irlanda (Eire);University College Dublin (Irlanda (Eire));5;0;19/07/2026
2025;ERASMUS;Ciencias naturales, matemáticas y estadística;Facultad de Ciencias;OUT;INGLÉS - C1 (Nivel avanzado 1);Países Bajos;Radboud Universiteit Nijmegen (Países Bajos);2;2;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Jean Moulin - Lyon Iii (Francia);2;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Bologna (Italia);2;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;ALEMÁN - B2 (Nivel avanzado);Alemania;Universitat Potsdam (Alemania);2;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;ALEMÁN - B2 (Nivel avanzado);Alemania;University Of Munster (Alemania);5;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite Jean Moulin - Lyon Iii (Francia);2;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Université De Pau Et Des Pays De L'Adour (Francia);8;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;FRANCÉS - B2 (Nivel avanzado);Francia;Université Toulouse Capitole (Francia);4;2;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;FRANCÉS - B2 (Nivel avanzado);Francia;Université De Rouen (Francia);2;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;INGLÉS - B2 (Nivel avanzado);Bélgica;Uclouvain Saint-Louis - Bruxelles (Bélgica);0;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;INGLÉS - B2 (Nivel avanzado);Bélgica;Katholieke Universiteit Leuven (Bélgica);2;1;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;INGLÉS - B2 (Nivel avanzado);Finlandia;Lapin Yliopisto (Finlandia);4;0;19/07/2026
2025;ERASMUS;Derecho;Escuela de Doctorado;OUT;ITALIANO - A2 (Nivel básico avanzado);Italia;Università Degli Studi Di Bologna (Italia);1;3;19/07/2026
