Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2019-2020,0,81361,Iniciación a la Investigación en Física de Astropartículas y de Altas Energías,2,8,0,0,2,8,18,72,1,4,2,8,0,0
2019-2020,1,26900,Fundamentos de física I,11,9.2,40,33.6,53,44.5,8,6.7,3,2.5,4,3.4,0,0
2019-2020,1,26901,Química,0,0,2,2.5,32,39.5,44,54.3,1,1.2,2,2.5,0,0
2019-2020,1,26902,Álgebra I,12,8.6,30,21.6,71,51.1,19,13.7,4,2.9,3,2.2,0,0
2019-2020,1,26903,Análisis matemático,0,0,12,14.3,43,51.2,25,29.8,0,0,4,4.8,0,0
2019-2020,1,26904,Informática,4,4.1,9,9.3,32,33,32,33,16,16.5,4,4.1,0,0
2019-2020,1,26905,Fundamentos de física II,15,14.2,21,19.8,48,45.3,17,16,1,0.9,4,3.8,0,0
2019-2020,1,26906,Laboratorio de física,1,1.2,0,0,27,31.4,50,58.1,4,4.7,4,4.7,0,0
2019-2020,1,26907,Álgebra II,10,9.3,11,10.2,64,59.3,17,15.7,2,1.9,4,3.7,0,0
2019-2020,1,26908,Cálculo diferencial,7,7.1,2,2,17,17.2,57,57.6,12,12.1,4,4,0,0
2019-2020,1,26909,Biología,0,0,2,6.5,14,45.2,15,48.4,0,0,0,0,0,0
2019-2020,1,26910,Geología,1,9.1,0,0,3,27.3,6,54.5,1,9.1,0,0,0,0
2019-2020,1,26958,Grafos y combinatoria,2,4,4,8,19,38,15,30,7,14,3,6,0,0
2019-2020,2,26911,Técnicas físicas I,2,2.5,26,32.1,25,30.9,24,29.6,2,2.5,2,2.5,0,0
2019-2020,2,26912,Mecánica clásica I,15,16.3,4,4.3,44,47.8,25,27.2,2,2.2,2,2.2,0,0
2019-2020,2,26913,Cálculo integral y geometría,12,14.8,2,2.5,27,33.3,28,34.6,9,11.1,3,3.7,0,0
2019-2020,2,26914,Ecuaciones diferenciales,7,9.9,6,8.5,31,43.7,18,25.4,5,7,4,5.6,0,0
2019-2020,2,26915,Electromagnetismo,5,6.2,11,13.6,40,49.4,18,22.2,4,4.9,3,3.7,0,0
2019-2020,2,26916,Mecánica clásica II,13,15.9,7,8.5,34,41.5,22,26.8,3,3.7,3,3.7,0,0
2019-2020,2,26917,Métodos matemáticos para la física,6,7.9,3,3.9,19,25,37,48.7,7,9.2,4,5.3,0,0
2019-2020,2,26918,Física computacional,18,20.5,20,22.7,28,31.8,15,17,3,3.4,4,4.5,0,0
2019-2020,2,26919,Ondas electromagnéticas,9,11,5,6.1,26,31.7,36,43.9,2,2.4,4,4.9,0,0
2019-2020,3,26920,Técnicas físicas II,0,0,1,1.4,16,23.2,49,71,0,0,3,4.3,0,0
2019-2020,3,26921,Física cuántica I,6,8.2,5,6.8,40,54.8,12,16.4,6,8.2,4,5.5,0,0
2019-2020,3,26922,Termodinámica,6,7.1,9,10.7,36,42.9,28,33.3,2,2.4,3,3.6,0,0
2019-2020,3,26923,Óptica,6,8.1,3,4.1,37,50,26,35.1,2,2.7,0,0,0,0
2019-2020,3,26924,Física cuántica II,8,8.5,3,3.2,26,27.7,33,35.1,17,18.1,7,7.4,0,0
2019-2020,3,26925,Física estadística,2,2.2,15,16.5,62,68.1,11,12.1,1,1.1,0,0,0,0
2019-2020,3,26932,Astronomía y astrofísica,0,0,0,0,6,31.6,6,31.6,5,26.3,2,10.5,0,0
2019-2020,3,26933,Caos y sistemas dinámicos no lineales,1,2,0,0,7,13.7,28,54.9,13,25.5,2,3.9,0,0
2019-2020,3,26934,Física de la atmósfera,1,4.5,0,0,1,4.5,8,36.4,11,50,1,4.5,0,0
2019-2020,3,26935,Física de fluidos,0,0,1,3.3,10,33.3,17,56.7,1,3.3,1,3.3,0,0
2019-2020,3,26937,Gravitación y cosmología,0,0,0,0,7,25.9,17,63,2,7.4,1,3.7,0,0
2019-2020,3,26938,Historia de la ciencia,0,0,0,0,0,0,11,73.3,3,20,1,6.7,0,0
2019-2020,3,26940,Láser y aplicaciones,1,5.3,0,0,1,5.3,14,73.7,3,15.8,0,0,0,0
2019-2020,3,26941,Micro y nano sistemas,0,0,0,0,1,3.6,17,60.7,9,32.1,1,3.6,0,0
2019-2020,3,26942,Microondas: propagación y antenas,0,0,1,9.1,5,45.5,5,45.5,0,0,0,0,0,0
2019-2020,3,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,0,0,3,42.9,3,42.9,1,14.3,0,0
2019-2020,3,26945,Dispositivos y sistemas fotónicos,0,0,0,0,1,6.2,14,87.5,0,0,1,6.2,0,0
2019-2020,3,26946,Dosimetría y radioprotección,0,0,0,0,8,50,6,37.5,1,6.2,1,6.2,0,0
2019-2020,3,26947,Espectroscopia,0,0,0,0,7,38.9,7,38.9,3,16.7,1,5.6,0,0
2019-2020,3,26949,Física biológica,0,0,0,0,0,0,16,47.1,17,50,1,2.9,0,0
2019-2020,3,26950,Física de altas energías,3,11.1,0,0,9,33.3,10,37,4,14.8,1,3.7,0,0
2019-2020,3,26951,Física y tecnología nuclear,2,5,0,0,3,7.5,26,65,7,17.5,2,5,0,0
2019-2020,3,26953,Mecánica cuántica,3,10.7,0,0,7,25,15,53.6,3,10.7,0,0,0,0
2019-2020,3,26957,Sistemas digitales,0,0,0,0,0,0,1,5,18,90,1,5,0,0
2019-2020,4,26926,Estado sólido I,6,9,0,0,18,26.9,24,35.8,16,23.9,3,4.5,0,0
2019-2020,4,26927,Técnicas físicas III,1,1.5,1,1.5,5,7.7,40,61.5,16,24.6,2,3.1,0,0
2019-2020,4,26928,Electrónica física,4,5.8,3,4.3,29,42,20,29,9,13,4,5.8,0,0
2019-2020,4,26929,Física nuclear y partículas,6,8.1,4,5.4,38,51.4,14,18.9,9,12.2,3,4.1,0,0
2019-2020,4,26930,Estado sólido II,3,4.5,1,1.5,35,53,16,24.2,7,10.6,4,6.1,0,0
2019-2020,4,26931,Trabajo fin de Grado,4,6.2,0,0,1,1.5,15,23.1,25,38.5,20,30.8,0,0
