CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2024;Grado;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;19/07/2026
2024;Grado;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo I;Normal;Formación básica;100.00;97.30;97.30;37;36;36;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color I;Normal;Formación básica;100.00;100.00;100.00;37;37;37;1.08;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen I;Normal;Formación básica;100.00;100.00;100.00;37;37;37;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas pictóricas, materiales y procedimientos;Normal;Obligatoria;100.00;97.37;97.37;38;37;37;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas escultóricas, materiales y procedimientos;Normal;Obligatoria;100.00;97.37;97.37;38;37;37;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación I;Normal;Formación básica;100.00;95.00;95.00;40;38;38;1.15;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Análisis de la imagen y de la forma;Normal;Formación básica;100.00;100.00;100.00;38;38;38;1.03;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte;Normal;Formación básica;100.00;97.44;97.44;39;38;38;1.13;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo II;Normal;Obligatoria;100.00;94.44;94.44;36;34;34;1.18;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color II;Normal;Obligatoria;100.00;88.24;88.24;34;30;30;1.03;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen II;Normal;Obligatoria;93.94;88.57;94.29;36;32;34;1.09;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación II;Normal;Obligatoria;91.43;86.49;94.59;38;33;36;1.12;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Imagen y lenguaje audiovisual;Normal;Formación básica;90.91;83.33;91.67;36;30;33;1.20;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte del siglo XX;Normal;Formación básica;94.12;94.12;100.00;34;32;34;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Imagen;Normal;Obligatoria;100.00;100.00;100.00;43;43;43;1.05;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Espacio;Normal;Obligatoria;94.12;88.89;94.44;41;39;40;1.08;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y pensamiento. Estética;Normal;Obligatoria;95.24;90.91;95.45;44;42;43;1.17;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Construcción del discurso artístico;Normal;Obligatoria;91.43;88.89;97.22;42;38;41;1.03;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Últimas tendencias artísticas;Normal;Obligatoria;100.00;100.00;100.00;40;40;40;1.05;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;73.81;73.81;43;32;32;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas de reproducción gráfica;Normal;Optativa;76.19;72.73;95.45;23;17;22;1.24;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Infografía;Normal;Optativa;100.00;100.00;100.00;17;17;17;1.00;19/07/2026
2024;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Introducción al diseño;Normal;Optativa;100.00;100.00;100.00;19;19;19;1.00;19/07/2026
