CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2013;Escuela Politécnica Superior;Ciencias Ambientales;Grado;255;60;65;25;0;0;0;24;;7;13410.00;728.00;5.36;76.06;67.62;85.43;33.96;15.09;29/04/2018
2013;Facultad de Ciencias de la Salud;Enfermería;Grado;727;168;160;204;44;43;44;103;11;12;41167.00;12885.00;4.10;95.46;92.95;95.54;11.26;83.44;29/04/2018
2013;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;215;54;54;49;0;0;0;22;;1;12835.00;1626.00;4.00;96.81;95.69;98.08;8.33;85.42;29/04/2018
2013;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;133;33;33;32;0;0;0;9;;3;7975.00;430.00;3.96;97.03;94.30;97.81;3.23;90.32;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;172;34;55;36;0;0;0;33;7;8;9353.00;292.50;4.51;91.91;86.59;96.15;16.67;40.00;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;296;84;75;54;0;0;0;39;8;18;17550.00;410.50;4.23;89.98;85.90;92.09;18.99;59.49;29/04/2018
2013;Facultad de Filosofía y Letras;Filosofía;Grado;170;59;60;18;0;0;0;5;35;7;9354.00;107.00;4.82;88.77;71.95;87.13;33.96;13.21;29/04/2018
2013;Facultad de Filosofía y Letras;Periodismo;Grado;248;61;60;44;0;0;0;9;10;14;13848.00;273.50;4.27;97.03;93.78;97.61;7.02;75.44;29/04/2018
2013;Facultad de Filosofía y Letras;Información y Documentación;Grado;95;34;40;15;0;0;0;5;13;0;4830.00;390.50;4.29;93.08;82.73;99.28;35.48;19.35;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Arquitectura;Grado;7;0;;3;0;0;0;0;;1;150.00;0.00;6.00;100.00;60.87;93.75;;;29/04/2018
2013;Facultad de Ciencias de la Salud;Fisioterapia;Grado;276;60;60;75;17;16;16;33;3;8;15342.00;4158.00;4.05;96.07;92.42;96.78;9.26;85.19;29/04/2018
2013;Facultad de Ciencias de la Salud;Terapia Ocupacional;Grado;317;82;80;82;15;15;15;22;1;4;17828.00;3674.50;4.22;92.31;88.24;92.30;13.33;69.33;29/04/2018
2013;Facultad de Ciencias Sociales y del Trabajo;Trabajo Social;Grado;742;167;180;218;82;75;63;135;17;32;41587.00;15254.00;4.29;95.53;89.58;93.35;12.18;65.38;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;357;74;75;68;11;11;5;66;16;21;20335.50;2974.00;4.36;92.98;85.05;90.63;9.23;78.46;29/04/2018
2013;Facultad de Veterinaria;Ciencia y Tecnología de los Alimentos;Grado;219;60;60;25;0;0;0;8;11;5;13332.00;210.00;4.25;85.43;80.96;89.98;14.29;62.50;29/04/2018
2013;Facultad de Ciencias de la Salud y del Deporte;Ciencias de la Actividad Física y del Deporte;Grado;256;70;70;47;0;0;0;34;6;6;14769.00;581.00;4.24;94.34;90.43;95.83;6.35;65.08;29/04/2018
2013;Facultad de Ciencias;Geología;Grado;163;44;65;22;0;0;0;7;3;14;9600.50;234.50;4.53;74.17;64.65;89.02;40.91;11.36;29/04/2018
2013;Facultad de Ciencias;Óptica y Optometría;Grado;207;54;60;39;0;0;0;5;2;2;12615.00;66.00;4.31;82.79;75.17;89.15;30.77;40.38;29/04/2018
2013;Facultad de Educación;Magisterio en Educación Primaria;Grado;968;240;240;172;0;0;0;90;23;37;58098.00;4920.00;4.00;94.23;89.62;98.27;7.76;63.93;29/04/2018
2013;Facultad de Ciencias Humanas y de la Educación;Magisterio en Educación Primaria;Grado;442;119;120;62;0;0;0;46;6;2;27908.00;3453.50;4.00;89.56;84.30;97.26;4.67;52.34;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Magisterio en Educación Primaria;Grado;381;112;120;74;0;0;0;85;4;11;23856.00;3830.50;4.00;90.74;85.82;96.16;18.60;33.72;29/04/2018
2013;Facultad de Educación;Magisterio en Educación Infantil;Grado;488;121;120;106;0;0;0;71;15;11;28196.00;3177.00;4.00;95.14;92.42;97.73;8.64;85.19;29/04/2018
2013;Facultad de Ciencias Humanas y de la Educación;Magisterio en Educación Infantil;Grado;433;119;120;77;0;0;0;94;;5;26314.00;4561.00;4.00;91.37;87.27;96.88;8.62;70.69;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Magisterio en Educación Infantil;Grado;375;107;120;72;0;0;0;94;3;17;23156.00;2344.50;3.98;93.06;88.01;95.68;14.47;61.84;29/04/2018
2013;Facultad de Medicina;Medicina;Grado;1236;190;190;0;0;0;0;324;25;55;73087.00;8367.50;;96.36;94.02;;0.00;0.00;29/04/2018
2013;Facultad de Ciencias de la Salud y del Deporte;Medicina;Grado;122;50;50;0;0;0;0;16;;0;6914.00;387.00;;96.96;93.17;;0.00;0.00;29/04/2018
2013;Facultad de Filosofía y Letras;Estudios Clásicos;Grado;82;28;40;8;0;0;0;10;6;1;4816.00;183.00;4.00;77.26;60.85;99.06;64.00;12.00;29/04/2018
2013;Facultad de Filosofía y Letras;Estudios Ingleses;Grado;366;98;100;48;0;0;0;26;121;26;22098.00;1010.50;3.98;87.79;81.60;97.96;25.00;40.91;29/04/2018
2013;Facultad de Filosofía y Letras;Filología Hispánica;Grado;237;70;70;19;0;0;0;50;175;4;14270.00;1953.50;4.00;88.02;76.16;98.07;27.12;28.81;29/04/2018
2013;Facultad de Filosofía y Letras;Historia;Grado;531;151;165;35;0;0;0;53;82;19;31059.00;1770.50;4.00;89.81;76.41;98.27;34.85;31.82;29/04/2018
2013;Facultad de Filosofía y Letras;Historia del Arte;Grado;296;82;120;23;0;0;0;39;37;12;17170.00;1102.50;4.00;85.46;73.67;96.55;38.24;22.06;29/04/2018
2013;Facultad de Ciencias;Física;Grado;235;80;80;20;0;0;0;40;6;4;13676.00;1010.50;4.00;82.84;64.63;98.29;58.90;27.40;29/04/2018
2013;Facultad de Ciencias;Biotecnología;Grado;253;70;70;48;0;0;0;55;;13;14904.00;697.00;4.00;96.83;94.08;97.68;3.03;89.39;29/04/2018
2013;Facultad de Ciencias;Matemáticas;Grado;196;61;75;12;0;0;0;28;10;7;11360.50;1785.00;4.00;78.48;61.19;98.31;53.45;13.79;29/04/2018
2013;Facultad de Ciencias;Química;Grado;455;143;150;20;0;0;0;53;10;3;26096.00;1400.00;4.00;69.47;61.48;98.90;41.35;21.80;29/04/2018
2013;Facultad de Ciencias de la Salud y del Deporte;Nutrición Humana y Dietética;Grado;220;65;65;25;15;7;7;49;1;6;12609.00;2433.00;4.00;89.46;80.77;97.55;28.30;43.40;29/04/2018
2013;Facultad de Ciencias de la Salud y del Deporte;Odontología;Grado;132;36;36;0;0;0;0;22;2;8;8109.00;281.50;;97.49;96.31;;0.00;0.00;29/04/2018
2013;Facultad de Veterinaria;Veterinaria;Grado;615;152;150;0;0;0;0;157;19;9;38872.00;1539.50;;87.91;84.26;;0.00;0.00;29/04/2018
2013;Facultad de Economía y Empresa;Administración y Dirección de Empresas;Grado;1579;393;400;186;114;72;39;560;138;45;90911.00;33522.50;3.99;82.19;72.37;95.52;29.41;30.81;29/04/2018
2013;Facultad de Empresa y Gestión Pública;Administración y Dirección de Empresas;Grado;335;65;65;31;137;68;20;148;17;10;15040.00;14457.50;4.00;75.86;59.72;94.99;53.33;11.67;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Administración y Dirección de Empresas;Grado;165;46;65;8;0;0;0;65;17;6;9434.00;1724.00;4.00;82.70;73.74;97.60;41.67;5.56;29/04/2018
2013;Facultad de Derecho;Derecho;Grado;1275;310;310;134;0;0;0;356;59;23;78898.00;13894.50;3.98;85.99;79.38;97.68;12.67;54.67;29/04/2018
2013;Facultad de Economía y Empresa;Economía;Grado;719;183;200;47;0;0;0;144;85;26;43871.00;4930.50;4.00;77.27;65.75;95.60;36.31;22.91;29/04/2018
2013;Facultad de Economía y Empresa;Finanzas y Contabilidad;Grado;499;147;150;47;0;0;0;138;21;4;26147.00;9005.50;4.00;79.44;65.04;94.57;46.39;21.65;29/04/2018
2013;Facultad de Filosofía y Letras;Geografía y Ordenación del Territorio;Grado;168;49;50;19;0;0;0;11;35;2;10163.00;205.00;4.00;92.28;83.40;97.79;22.22;40.00;29/04/2018
2013;Facultad de Empresa y Gestión Pública;Gestión y Administración Pública;Grado;109;19;80;9;28;9;6;38;7;2;4798.00;2174.00;4.00;88.74;73.52;100.00;60.00;13.33;29/04/2018
